时间(秒),轨道,音符类型,主频率(Hz),并行频率,装饰音,演奏法,表情,复杂度
4.513,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布,6
4.602,melody,演奏音符,63.77,无,无,normal,无,1
4.690,melody,演奏音符,127.53,无,无,normal,无,1
4.779,bass,演奏音符,31.88,无,无,normal,无,1
4.779,melody,演奏音符,168.28,无,无,normal,accent,1
4.867,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,accent,5
4.867,melody,演奏音符,84.14,无,cascade(84.1Hz)+cascade(101.0Hz)+cascade(121.2Hz)+cascade(145.4Hz)+cascade(174.5Hz),normal,special_五行瀑布,6
4.956,melody,演奏音符,84.14,无,无,normal,无,1
5.044,chord,演奏音符,191.52,无,无,normal,无,1
5.044,melody,演奏音符,83.36,无,无,normal,无,1
5.133,melody,演奏音符,166.73,无,cascade(166.7Hz)+cascade(200.1Hz)+cascade(240.1Hz)+cascade(288.1Hz)+cascade(345.7Hz),normal,special_五行瀑布,6
5.221,melody,演奏音符,168.28,无,cascade(168.3Hz)+cascade(201.9Hz)+cascade(242.3Hz)+cascade(290.8Hz)+cascade(348.9Hz),normal,special_五行瀑布,6
5.310,bass,演奏音符,31.88,无,无,normal,无,1
5.310,melody,演奏音符,63.77,无,无,normal,accent,1
5.398,chord,演奏音符,191.52,无,无,normal,无,1
5.398,melody,演奏音符,96.65,无,cascade(96.6Hz)+cascade(116.0Hz)+cascade(139.2Hz)+cascade(167.0Hz)+cascade(200.4Hz),normal,special_五行瀑布,6
5.487,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布,6
5.575,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
5.575,melody,演奏音符,96.65,无,无,normal,无,1
5.664,melody,演奏音符,73.25,无,cascade(73.2Hz)+cascade(87.9Hz)+cascade(105.5Hz)+cascade(126.6Hz)+cascade(151.9Hz),normal,special_五行瀑布,6
5.752,melody,演奏音符,55.51,无,无,normal,无,1
5.841,bass,演奏音符,36.62,无,无,normal,无,1
5.841,melody,演奏音符,111.02,无,无,normal,accent,1
5.929,chord,演奏音符,220.00,无,无,normal,无,1
5.929,melody,演奏音符,168.28,无,无,normal,无,1
6.018,melody,演奏音符,168.28,无,无,normal,无,1
6.106,chord,演奏音符,220.00,无,无,normal,无,1
6.106,melody,演奏音符,84.14,无,cascade(84.1Hz)+cascade(101.0Hz)+cascade(121.2Hz)+cascade(145.4Hz)+cascade(174.5Hz),normal,special_五行瀑布,6
6.195,melody,演奏音符,168.28,无,无,normal,无,1
6.283,melody,演奏音符,168.28,无,无,normal,无,1
6.372,bass,演奏音符,42.07,无,无,normal,accent,1
6.372,melody,演奏音符,84.14,无,cascade(84.1Hz)+cascade(101.0Hz)+cascade(121.2Hz)+cascade(145.4Hz)+cascade(174.5Hz),normal,special_五行瀑布+accent,6
6.460,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,accent,5
6.460,melody,演奏音符,168.28,无,无,normal,无,1
6.549,melody,演奏音符,84.14,无,无,normal,无,1
6.637,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,无,5
6.637,melody,演奏音符,168.28,无,无,normal,无,1
6.726,melody,演奏音符,111.02,无,cascade(111.0Hz)+cascade(133.2Hz)+cascade(159.9Hz)+cascade(191.8Hz)+cascade(230.2Hz),normal,special_五行瀑布,6
6.814,melody,演奏音符,96.65,无,cascade(96.6Hz)+cascade(116.0Hz)+cascade(139.2Hz)+cascade(167.0Hz)+cascade(200.4Hz),normal,special_五行瀑布,6
6.903,bass,演奏音符,48.32,无,无,normal,无,1
6.903,melody,演奏音符,193.30,无,无,normal,accent,1
6.991,chord,演奏音符,290.29,326.6+362.9+399.2+435.4,无,normal,无,5
6.991,melody,演奏音符,146.49,无,无,normal,无,1
7.080,melody,演奏音符,193.30,无,无,normal,无,1
7.168,chord,演奏音符,290.29,326.6+362.9+399.2+435.4,无,normal,无,5
7.168,melody,演奏音符,193.30,无,无,normal,无,1
7.257,melody,演奏音符,96.65,无,无,normal,无,1
7.345,melody,演奏音符,95.76,无,无,normal,无,1
7.434,bass,演奏音符,31.88,无,无,normal,无,1
7.434,melody,演奏音符,96.65,无,无,normal,accent,1
7.522,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
7.522,melody,演奏音符,111.02,无,无,normal,无,1
7.611,melody,演奏音符,96.65,无,cascade(96.6Hz)+cascade(116.0Hz)+cascade(139.2Hz)+cascade(167.0Hz)+cascade(200.4Hz),normal,special_五行瀑布,6
7.699,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
7.699,melody,演奏音符,193.30,无,无,normal,无,1
7.788,melody,演奏音符,96.65,无,cascade(96.6Hz)+cascade(116.0Hz)+cascade(139.2Hz)+cascade(167.0Hz)+cascade(200.4Hz),normal,special_五行瀑布,6
7.876,melody,演奏音符,73.25,无,无,normal,无,1
7.965,bass,演奏音符,31.88,无,无,normal,无,1
7.965,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布+accent,6
8.053,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,accent,5
8.053,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布,6
8.142,melody,演奏音符,63.77,无,无,normal,无,1
8.230,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
8.230,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布,6
8.319,melody,演奏音符,64.36,无,cascade(64.4Hz)+cascade(77.2Hz)+cascade(92.7Hz)+cascade(111.2Hz)+cascade(133.5Hz),normal,special_五行瀑布,6
8.407,melody,演奏音符,128.71,无,无,normal,无,1
8.496,bass,演奏音符,36.62,无,无,normal,无,1
8.496,melody,演奏音符,127.53,无,无,normal,accent,1
8.584,chord,演奏音符,220.00,247.5+275.0+302.5+330.0,无,normal,无,5
8.584,melody,演奏音符,128.71,无,cascade(128.7Hz)+cascade(154.5Hz)+cascade(185.3Hz)+cascade(222.4Hz)+cascade(266.9Hz),normal,special_五行瀑布,6
8.673,melody,演奏音符,257.43,无,无,normal,无,1
8.761,chord,演奏音符,220.00,无,无,normal,无,1
8.761,melody,演奏音符,128.71,无,无,normal,无,1
8.850,melody,演奏音符,64.36,无,无,normal,无,1
8.938,melody,演奏音符,128.71,无,无,normal,无,1
9.027,bass,演奏音符,42.07,无,无,normal,无,1
9.027,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布+accent,6
9.115,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,无,5
9.115,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布,6
9.204,melody,演奏音符,127.53,无,无,normal,无,1
9.292,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,无,5
9.292,melody,演奏音符,128.71,无,无,normal,无,1
9.381,melody,演奏音符,64.36,无,无,normal,无,1
9.469,melody,演奏音符,128.71,无,无,normal,无,1
9.558,bass,演奏音符,48.32,无,无,normal,accent,1
9.558,melody,演奏音符,257.43,无,cascade(257.4Hz)+cascade(308.9Hz)+cascade(370.7Hz)+cascade(444.8Hz)+cascade(533.8Hz),normal,special_五行瀑布+accent,6
9.646,chord,演奏音符,290.29,326.6+362.9+399.2+435.4,无,normal,accent,5
9.646,melody,演奏音符,128.71,无,无,normal,bold_accent,1
9.735,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布+bold_accent,6
9.823,chord,演奏音符,290.29,326.6+362.9+399.2+435.4,无,normal,bold_accent,5
9.823,melody,演奏音符,63.77,无,无,normal,bold_accent,1
9.912,melody,演奏音符,63.77,无,无,normal,bold_accent,1
10.000,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布+bold_accent,6
10.088,bass,演奏音符,31.88,无,无,normal,bold_accent,1
10.088,melody,演奏音符,127.53,无,无,normal,bold_accent+accent,1
10.177,chord,演奏音符,191.52,无,无,normal,bold_accent,1
10.177,melody,演奏音符,63.77,无,无,normal,bold_accent,1
10.265,melody,演奏音符,127.53,无,无,normal,bold_accent,1
10.354,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,bold_accent,5
10.354,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布+bold_accent,6
10.442,melody,演奏音符,63.77,无,无,normal,bold_accent,1
10.531,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布+bold_accent,6
