轨道类型,小节,拍,位置,绝对时间(秒),音符/和弦,频率(Hz),持续时间(拍),力度,强弱拍,备注
和弦,2,3,19,6.583,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,弱,大三和弦
和弦,2,3,21,6.750,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,强,大三和弦
低音,2,4,24,7.000,M0,31.88,1.00,100,强,根音
和弦,2,4,25,7.083,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,2,4,27,7.250,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,3,0,0,7.500,M0,31.88,1.00,100,强,根音
和弦,3,0,1,7.583,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,3,0,3,7.750,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,3,1,6,8.000,S0,36.62,1.00,100,强,根音
和弦,3,1,7,8.083,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,弱,大三和弦
和弦,3,1,9,8.250,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,强,大三和弦
低音,3,2,12,8.500,H0,42.07,1.00,100,强,根音
和弦,3,2,13,8.583,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,弱,大三和弦
和弦,3,2,15,8.750,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,强,大三和弦
低音,3,3,18,9.000,T0,48.32,1.00,100,强,根音
和弦,3,3,19,9.083,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,弱,大三和弦
和弦,3,3,21,9.250,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,强,大三和弦
低音,3,4,24,9.500,M0,31.88,1.00,100,强,根音
和弦,3,4,25,9.583,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,3,4,27,9.750,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
